Date,Open,High,Low,Close,Volume,Adj Close
2011-06-09,4149.94,4203.25,4143.66,4175.98,3332510000,4175.98
2011-06-08,4166.08,4188.10,4128.01,4149.85,3970810000,4149.85
2011-06-07,4170.23,4214.09,4157.32,4166.95,3846250000,4166.95
2011-06-06,4202.34,4219.93,4155.93,4170.48,3555980000,4170.48
2011-06-03,4246.39,4246.39,4172.18,4202.52,3505030000,4202.52
2011-06-02,4250.50,4284.16,4214.76,4247.23,3762170000,4247.23
2011-06-01,4353.71,4359.73,4244.99,4250.48,4241090000,4250.48
2011-05-31,4312.45,4368.85,4312.26,4354.84,4696240000,4354.84
2011-05-27,4301.89,4344.89,4293.45,4311.93,3124560000,4311.93
2011-05-26,4297.73,4324.67,4255.13,4303.11,3259470000,4303.11
2011-05-25,4281.84,4325.85,4248.29,4299.77,4109670000,4299.77
2011-05-24,4296.20,4324.60,4265.76,4282.60,3846250000,4282.60
2011-05-23,4344.05,4344.05,4263.07,4296.09,3255580000,4296.09
2011-05-20,4369.46,4382.87,4320.47,4345.18,4066020000,4345.18
2011-05-19,4346.51,4394.76,4333.78,4369.58,3626110000,4369.58
2011-05-18,4310.80,4361.65,4280.94,4346.37,3922030000,4346.37
2011-05-17,4326.08,4346.06,4269.12,4312.54,4053970000,4312.54
2011-05-16,4339.33,4375.52,4306.32,4327.58,3846250000,4327.58
2011-05-13,4379.25,4400.31,4313.51,4339.48,3426660000,4339.48
2011-05-12,4360.66,4398.96,4316.09,4379.29,3777210000,4379.29
2011-05-11,4402.27,4402.89,4346.73,4362.54,3846250000,4362.54
2011-05-10,4366.30,4423.90,4366.11,4405.13,4223740000,4405.13
2011-05-09,4356.54,4389.87,4332.24,4366.93,4265250000,4366.93
2011-05-06,4338.04,4407.31,4335.32,4356.71,4223740000,4356.71
2011-05-05,4354.61,4396.23,4296.39,4339.28,3846250000,4339.28
2011-05-04,4390.99,4410.07,4320.58,4354.60,4223740000,4354.60
2011-05-03,4393.78,4426.68,4352.48,4392.80,4223740000,4392.80
2011-05-02,4396.98,4438.86,4374.16,4393.86,3846250000,4393.86
2011-04-29,4386.34,4426.00,4363.14,4397.05,3479070000,4397.05
2011-04-28,4352.27,4406.62,4332.37,4386.24,4036820000,4386.24
2011-04-27,4318.17,4366.98,4294.03,4352.92,4051570000,4352.92
2011-04-26,4267.02,4340.48,4265.64,4319.06,3908060000,4319.06
2011-04-25,4268.94,4290.39,4233.86,4266.84,2142130000,4266.84
2011-04-21,4250.57,4270.96,4250.57,4268.90,3587240000,4268.90
2011-04-20,4202.39,4289.11,4202.39,4250.45,4236280000,4250.45
2011-04-19,4184.76,4221.98,4169.84,4202.88,3886300000,4202.88
